lobes,regions,labels
Temporal_lobe,TTG_transverse_temporal_gyrus,207
brain_stem,Brain_Stem,
brain_stem_pons,Brain_Stem_and_Pons,
global,Deep_Grey_Matter,
global,Grey_Matter,
global,White_Matter,
Cerebellum,Cerebellum_Exterior,
Cerebellum,Cerebellum_White_Matter,
Cerebellum,Cerebellar_Vermal_Lobules_I-V,
Cerebellum,Cerebellar_Vermal_Lobules_VI-VII,
Cerebellum,Cerebellar_Vermal_Lobules_VIII-X,
rubbish,Non-Brain_Outer_Tissue,
rubbish,Non-Brain_Outer_Tissue,
rubbish,Non-brain_hight,
rubbish,Non-brain_low,
rubbish,Non-brain_med,
rubbish,Non-ventricular_CSF,
rubbish,NonBrain_High,
rubbish,NonBrain_Low,
rubbish,NonBrain_Mid,
