well_id,original
10964,192.0
10965,206.0
10966,148.0
10972,102.0
10973,192.0
10980,192.0
10981,194.0
10988,144.0
10989,154.0
10996,126.0
10997,102.0
11004,148.0
11005,144.0
11012,106.0
11013,144.0
11020,142.0
11021,206.0
11028,148.0
11036,206.0
11044,206.0
11045,126.0
11052,138.0
11053,126.0
11060,142.0
11061,180.0
11063,116.0
11064,200.0
11065,108.0
11068,102.0
11069,204.0
11070,114.0
11071,110.0
11072,170.0
11073,134.0
11076,166.0
11077,204.0
11078,104.0
11079,110.0
11080,170.0
11081,134.0
11084,192.0
11085,194.0
11086,114.0
11087,136.0
11088,170.0
11092,144.0
11095,116.0
11096,170.0
11097,156.0
11100,194.0
11101,184.0
11103,146.0
11104,200.0
11105,156.0
11108,194.0
11109,140.0
11111,130.0
11112,200.0
11113,156.0
11116,140.0
11117,140.0
11119,130.0
11120,170.0
11121,200.0
11124,144.0
11126,200.0
11127,130.0
11128,136.0
11129,108.0
11132,144.0
11134,200.0
11135,146.0
11136,170.0
11140,184.0
11141,184.0
11142,116.0
11143,130.0
11144,124.0
11148,180.0
11149,184.0
11150,170.0
11151,146.0
11156,184.0
11166,184.0
11172,170.0
11174,184.0
11180,202.0
11181,178.0
11182,178.0
11189,178.0
11190,178.0
11197,156.0
11198,184.0
11204,182.0
11206,134.0
11212,182.0
11214,134.0
11222,134.0
11228,140.0
11236,140.0
11244,184.0
11245,184.0
11255,156.0
11256,156.0
11257,196.0
11261,184.0
11262,188.0
11263,156.0
11264,134.0
11269,170.0
11271,114.0
11272,134.0
11276,134.0
11277,136.0
11279,178.0
11280,178.0
11281,156.0
11284,156.0
11286,178.0
11287,178.0
11288,170.0
11289,134.0
11292,156.0
11293,102.0
11294,114.0
11295,200.0
11296,170.0
11297,134.0
11300,140.0
11302,202.0
11303,196.0
11305,156.0
11308,184.0
11309,142.0
11311,176.0
11312,200.0
11318,174.0
11319,202.0
11320,196.0
11326,174.0
11327,202.0
11328,200.0
11334,178.0
11335,202.0
11336,170.0
11342,202.0
11343,156.0
11344,168.0
13393,202.0
13394,170.0
13401,188.0
13409,178.0
13417,194.0
13418,136.0
13425,126.0
13433,124.0
13434,168.0
13441,124.0
13449,124.0
13457,172.0
13489,140.0
13497,140.0
13513,172.0
13521,172.0
13529,172.0
13545,136.0
13873,126.0
13881,140.0
13889,184.0
14065,204.0
14073,156.0
14081,170.0
126426391,192.0
126426393,126.0
126426407,192.0
126426409,126.0
126426411,148.0
126426423,154.0
126426425,148.0
126426427,148.0
126426439,144.0
126426441,142.0
126426443,102.0
126426455,126.0
126426457,142.0
126426471,126.0
126426473,206.0
126426475,102.0
126426487,148.0
126426489,138.0
126426491,206.0
126426503,138.0
126426505,138.0
126426507,166.0
126426519,106.0
126426523,180.0
126426535,192.0
126426537,192.0
126426551,206.0
126426553,154.0
126426567,192.0
126426569,206.0
126431623,126.0
126431625,38.0
126431639,138.0
126431641,144.0
126431655,126.0
126431657,144.0
126431675,164.0
126431689,192.0
126431691,204.0
126431705,144.0
